"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test case tests API to create an inspection on equipment and update the visual details and save the inspection","886","Create Inspection on Equipment & update the visual details","tests.scenarios.multi_production_protocol.inspection","Tue Dec 17 16:10:39 IST 2024","passed","Tue Dec 17 16:10:40 IST 2024","TestInspectionMultiProductionProtocol","test_multi_production_protocol_inspection","",""
"This test case tests API to Create Protocol microbial residue verification for split when select based on policy for fungal and custom for bacterial of direct and based on policy for fungal and custom for bacterial indirect","18871","Create Protocol for microbial residue verification for split","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 16:58:00 IST 2024","passed","Tue Dec 17 16:58:18 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This test case tests API to Create Protocol for bioburden residue verification and validate the final summary details for custom policy","29833","Validate the bioburden residue verification final summary page for custom policy","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:21:15 IST 2024","failed","Tue Dec 17 17:21:45 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This test case tests API to create an inspection on equipment and validate the Bioburden residue verification bioburden samples for split policy","63313","Create Inspection on Equipment & Validate the Bioburden Residue Verification Samples for splitpolicy","tests.scenarios.multi_production_protocol.inspection","Tue Dec 17 16:38:19 IST 2024","passed","Tue Dec 17 16:39:22 IST 2024","TestInspectionMultiProductionProtocolSplitPolicy","test_multi_proudction_protocol_inspection_microbial_split_policy","",""
"This test case tests SAL when All Criteria in Policy is selected for each Equipment mapped to Production in API Facility","0","Test SAL of Production(API) for All Criteria in API Facility","tests.scenarios","Tue Dec 17 15:40:28 IST 2024","skipped","Tue Dec 17 15:40:28 IST 2024","TestLimitOnProduction","test_limit_productions","",""
"This test case tests API to Select Lowest SAL amongst the selected Production group for a material","5036","Select Lowest SAL amongst the selected Production group for a material","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 16:44:04 IST 2024","passed","Tue Dec 17 16:44:09 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This test case tests SAL when Default Criteria in Policy is selected for all production mapped to Equipment in API Facility","0","Test SAL of Production on Equipments for Default Criteria in API Facility","tests.scenarios","Tue Dec 17 15:39:04 IST 2024","skipped","Tue Dec 17 15:39:04 IST 2024","TestLimitsOnEquipments","test_limit_equipments","",""
"This method is used to add new Equipments","43","Add new Equipment","tests.unit.quick_actions","Tue Dec 17 18:06:13 IST 2024","passed","Tue Dec 17 18:06:13 IST 2024","TestAddNewEquipment","test_quick_action_add_equipment","",""
"This test case test API to validate the audit logs details for when update offline study for review and approve","960","Validate the audit logs details for when submit offline study for review and approve","tests.scenarios.audit_logs","Tue Dec 17 18:06:56 IST 2024","passed","Tue Dec 17 18:06:56 IST 2024","TestAuditLogsScenarios","test_audit_logs_scenarios","",""
"This test case test API to get mapped equipment details to cleaning agent for audit portal","909","Get mapped equipment details to cleaning agent","tests.unit.audit_portal","Tue Dec 17 18:05:40 IST 2024","passed","Tue Dec 17 18:05:41 IST 2024","TestAuditPortal","test_audit_portal","",""
"This test case tests API to Create Protocol for microbial residue verification and validate the final summary details for split custom policy","54738","Validate the microbial residue verification final summary page for split custom policy","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:26:01 IST 2024","passed","Tue Dec 17 17:26:56 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This test case tests API to Create Protocol microbial residue verification for non split when select based on policy of direct and custom for indirect and validate the limits","15346","Create Protocol for microbial residue verification for non split","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 16:56:20 IST 2024","passed","Tue Dec 17 16:56:35 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This test case tests SAL when All Criteria in Policy is selected for all production mapped to Equipment in API Facility","0","Test SAL of Production on Equipments for All Criteria in API Facility","tests.scenarios","Tue Dec 17 15:39:04 IST 2024","skipped","Tue Dec 17 15:39:04 IST 2024","TestLimitsOnEquipments","test_limit_equipments","",""
"This method is used to archive the production","53","Archive Production","tests.unit.quick_actions","Tue Dec 17 18:06:13 IST 2024","passed","Tue Dec 17 18:06:13 IST 2024","TestAddNewProduction","test_add_new_production","",""
"This Test case test API to get operator details for offline study","24","Get operator details","tests.unit.approve_cycle","Tue Dec 17 18:05:26 IST 2024","passed","Tue Dec 17 18:05:26 IST 2024","TestReviewApproveCycle","test_approve_review_cycle","",""
"This test case tests SAL when Toxicity Criteria in Policy is selected for all production mapped to Equipment in API Facility","0","Test SAL of Production on Equipments for Toxicity Criteria in API Facility","tests.scenarios","Tue Dec 17 15:39:04 IST 2024","skipped","Tue Dec 17 15:39:04 IST 2024","TestLimitsOnEquipments","test_limit_equipments","",""
"This test case tests API to Create Protocol bioburden residue verification for split when select based on policy for fungal & bacterial of direct, and  for bacterial & fungal of Indirect when default surface unit is sqcm and volume is ml","11337","Create Protocol for bioburden residue verification for split when unit is sqcm and ml","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 16:53:54 IST 2024","passed","Tue Dec 17 16:54:06 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This method is used to update the details of room grade from master data","282","Update the details of any one room grade from master data","tests.unit.master_data","Tue Dec 17 18:05:58 IST 2024","passed","Tue Dec 17 18:05:58 IST 2024","TestRoomGradeMasterData","test_room_grade_master_data","",""
"This test case API to add new user to CLEEN with admin role","65","Add new User with admin role","tests.unit.user_management","Tue Dec 17 18:06:15 IST 2024","passed","Tue Dec 17 18:06:15 IST 2024","TestUserManagement","test_user_management","",""
"This test case tests API to Create Protocol bioburden residue verification for split when select based on policy for direct fungal and custom for bacterial","16067","Create Protocol for bioburden residue verification for split & select based on policy for directfungal & custom for bacterial ","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 16:51:41 IST 2024","passed","Tue Dec 17 16:51:57 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This test case tests Production wise SAL when Dosage Criteria in Policy is selected for all production mapped to Equipment","5340","Test ProductWise Dosage SAL of Productions on Equipments","tests.scenarios","Tue Dec 17 15:38:00 IST 2024","passed","Tue Dec 17 15:38:05 IST 2024","TestLimitsOnEquipments","test_limit_equipments","",""
"This test case tests API to Validate the absent on sample limit and summary page of Protocol bioburden Endotoxin residue verification when select zero in microbial policy for room grade swab samples for non-split","19978","Validate the absent on sample limit and summary page of Protocol bioburden Endotoxin residueverification when select zero in microbial policy for room grade swab samples for non-split ","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:44:32 IST 2024","passed","Tue Dec 17 17:44:52 IST 2024","TestMicrobialMultiProductionProtocol","test_multi_production_protocol_microbial_policy_absent","",""
"This test case test API to validate the updating active cleaning limit policy","4200","Validate the audit logs details for updating active cleaning limit policy","tests.scenarios.audit_logs","Tue Dec 17 18:14:34 IST 2024","passed","Tue Dec 17 18:14:39 IST 2024","TestAuditLogsScenarios","test_audit_logs_scenarios","",""
"This test case test the swab & rinse sample limit of equipment map with production for formulation when all (toxicity, dosage, default) criteria is selected & for active facility when all (toxicity, dosage, default, LD50) and swab & rinse sample unit is in ppmand Upper cap setting for sample limit is On","15709","Test the swab & rinse sample limit of equipment map to production","tests.scenarios","Tue Dec 17 15:33:46 IST 2024","passed","Tue Dec 17 15:34:02 IST 2024","TestChemicalSampleLimitProduction","test_chemical_sample_limit_production","",""
"This test case Gets details of Cleaning Limit Policy for Nitrosamine","41","Get Cleaning Limit Policy for Nitrosamine","tests.unit.settings.cleaning_limit_policies","Tue Dec 17 18:06:15 IST 2024","passed","Tue Dec 17 18:06:15 IST 2024","TestNitrosamineCleaningLimitPolicy","test_nitrosamine_limit_policy","",""
"This test case tests API to Create Protocol for Endotoxin residue verification and validate the sample limits when select based on policy for direct and indirect","19826","Validate the sample limits of Endotoxin residue verification for direct indirect bop","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:51:26 IST 2024","passed","Tue Dec 17 17:51:46 IST 2024","TestMicrobialMultiProductionProtocol","test_multi_production_protocol_microbial_policy_absent","",""
"This test case test the swab & rinse sample limit of equipment map with production forIntermediate and swab & rinse sample unit is in ppm","0","Test the swab & rinse limit of equipment map to production for Intermediate","tests.scenarios","Tue Dec 17 15:35:02 IST 2024","skipped","Tue Dec 17 15:35:02 IST 2024","TestChemicalSampleLimitProduction","test_chemical_sample_limit_production","",""
"This test case test API to validate the master data snapshot report for production nitrosamine am mapping with excel file data","0","Validate master data snapshot report for production nitrosamine am mapping","tests.scenarios.audit_portal","Tue Dec 17 15:31:46 IST 2024","skipped","Tue Dec 17 15:31:46 IST 2024","TestApiAuditPortalLimits","test_audit_portal_api_facility","",""
"This test case tests Equipment wise SAL when Default Criteria in Policy is selected for all production mapped to Equipment","5650","Test Equipment Wise Default Criteria SAL of Productions on Equipments","tests.scenarios","Tue Dec 17 15:38:47 IST 2024","passed","Tue Dec 17 15:38:53 IST 2024","TestLimitsOnEquipments","test_limit_equipments","",""
"This test case tests API to select only one equipment entities from each productionmulti-production protocol","1323","Select only one equipment entities from each production","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 16:43:47 IST 2024","passed","Tue Dec 17 16:43:48 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This test case tests API to validate the samples select Lowest SAL on equipment for active residue verification","28260","Validate the samples when Select Lowest SAL on equipment for active residue verification","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:02:01 IST 2024","passed","Tue Dec 17 17:02:30 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This test case test API to Validate the audit logs details for update cleaning procedure details of master data","544","Validate the audit logs details for update cleaning procedure details of master data","tests.scenarios.audit_logs","Tue Dec 17 18:06:51 IST 2024","passed","Tue Dec 17 18:06:52 IST 2024","TestAuditLogsScenarios","test_audit_logs_scenarios","",""
"This method is used to get details of Nitrosamine analytical mapping","267","Get details of Nitrosamine Analytical mapping","tests.unit.production","Tue Dec 17 18:06:08 IST 2024","passed","Tue Dec 17 18:06:08 IST 2024","TestProduction","test_production","",""
"This test case test API to validate the master data snapshot report for equipments with excel file data","0","Validate master data snapshot report for Equipments","tests.scenarios.audit_portal","Tue Dec 17 15:31:46 IST 2024","skipped","Tue Dec 17 15:31:46 IST 2024","TestApiAuditPortalLimits","test_audit_portal_api_facility","",""
"This test case test the swab & rinse sample limit of Nitrosamine map with production whenswab & rinse sample unit is in mg","9823","Test the swab & rinse limit of Nitrosamine map to production","tests.scenarios.nitrosamine_limits","Tue Dec 17 18:00:19 IST 2024","passed","Tue Dec 17 18:00:29 IST 2024","TestNitrosamineChemicalSampleLimit","test_nitrosamine_chemical_limits","",""
"This test case tests API to Create Protocol microbial residue verification for split when select based on policy for fungal and custom bacterial of indirect","14699","Create Protocol for microbial residue verification for split","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 16:57:27 IST 2024","passed","Tue Dec 17 16:57:42 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This test case test the swab & rinse sample limit of Nitrosamine map with production whenswab & rinse sample unit is in mg & surface area is sqin and volume is L","9835","Test the swab & rinse limit of Nitrosamine map to production","tests.scenarios.nitrosamine_limits","Tue Dec 17 18:02:31 IST 2024","passed","Tue Dec 17 18:02:41 IST 2024","TestNitrosamineChemicalSampleLimit","test_nitrosamine_chemical_limits","",""
"This test case tests SAL when All Criteria in Policy is selected for each Equipment mapped to Production in API Facility","0","Test SAL of Production(API) for All Criteria in API Facility","tests.scenarios","Tue Dec 17 15:40:28 IST 2024","skipped","Tue Dec 17 15:40:28 IST 2024","TestLimitOnProduction","test_limit_productions","",""
"This method is used to get details of archive Productions","24","Get details of archive Productions","tests.unit.quick_actions","Tue Dec 17 18:06:13 IST 2024","passed","Tue Dec 17 18:06:13 IST 2024","TestAddNewProduction","test_add_new_production","",""
"This test case tests API to Create Protocol bioburden residue verification for split when select based on policy for indirect bacterial and custom for fungal","14472","Create Protocol for bioburden residue verification for split when select based on policy for indirect bacterial and custom for fungal","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 16:52:26 IST 2024","passed","Tue Dec 17 16:52:40 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This method is used to update the details of Nitrosamine from master data","41","Update the details of any one Nitrosamine from master data","tests.unit.master_data","Tue Dec 17 18:05:57 IST 2024","passed","Tue Dec 17 18:05:57 IST 2024","TestNitrosamineMasterData","test_nitrosamine_master_data","",""
"This test case test Api to update the offline study details like equipment, production & material","485","Update offline study details","tests.scenarios.offline_study","Tue Dec 17 18:05:17 IST 2024","passed","Tue Dec 17 18:05:17 IST 2024","TestOfflineStudies","test_offline_studys","",""
"This test case tests API to Validate the absent on Protocol Microbial Endotoxin residue verification when select zero in microbial policy for room grade swab samples for split","12578","Validate the absent on Protocol Microbial Endotoxin residue verification when select zero in microbial policy for room grade swab samples for split","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:51:46 IST 2024","passed","Tue Dec 17 17:51:58 IST 2024","TestMicrobialMultiProductionProtocol","test_multi_production_protocol_microbial_policy_absent","",""
"This test case test the swab & rinse sample limit of Nitrosamine map with production whenswab & rinse sample unit is in ppm & surface area is sqm and volume is L","11263","Test the swab & rinse limit of Nitrosamine map to production","tests.scenarios.nitrosamine_limits","Tue Dec 17 18:00:40 IST 2024","passed","Tue Dec 17 18:00:51 IST 2024","TestNitrosamineChemicalSampleLimit","test_nitrosamine_chemical_limits","",""
"This test case test API to validate the master data snapshot report for cleaning procedure with excel file data","0","Validate master data snapshot report for microbial analytical method","tests.scenarios.audit_portal","Tue Dec 17 15:31:46 IST 2024","skipped","Tue Dec 17 15:31:46 IST 2024","TestApiAuditPortalLimits","test_audit_portal_api_facility","",""
"This test case tests Production wise SAL when Upper Limit is True for All Criteria in Policy is selected for each Production mapped to Equipment","6687","Test ProductWise Upper Limit SAL of Productions on Equipments","tests.scenarios","Tue Dec 17 15:38:24 IST 2024","passed","Tue Dec 17 15:38:31 IST 2024","TestLimitsOnEquipments","test_limit_equipments","",""
"This test case test the Nitrosamine sal from list of Production when SalMassUnit is ug","7672","Test Nitrosamine SAL","tests.scenarios.nitrosamine_limits","Tue Dec 17 18:03:03 IST 2024","passed","Tue Dec 17 18:03:10 IST 2024","TestNitrosamineLimit","test_nitrosamine_limits","",""
"This test case tests API to create an inspection on equipment and update the Nitrosamineresidue verification details and save the inspection","6283","Create Inspection on Equipment & update the Nitrosamine Residue Verification details","tests.scenarios.multi_production_protocol.inspection","Tue Dec 17 16:11:06 IST 2024","passed","Tue Dec 17 16:11:13 IST 2024","TestInspectionMultiProductionProtocol","test_multi_production_protocol_inspection","",""
"This test case tests SAL when Dosage Criteria in Policy is selected for all production mapped to Equipment in API Facility","0","Test SAL of Production on Equipments for Dosage Criteria in API Facility","tests.scenarios","Tue Dec 17 15:39:04 IST 2024","skipped","Tue Dec 17 15:39:04 IST 2024","TestLimitsOnEquipments","test_limit_equipments","",""
"This test case tests API to Validate the absent on sample limits of Protocol Endotoxin residue verification when select zero in microbial policy on sample limit and summary page","11317","Validate the absent on sample limits of Protocol Endotoxin residue verification when select zero in microbial policy on sample limit and summary page","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:36:01 IST 2024","passed","Tue Dec 17 17:36:12 IST 2024","TestMicrobialMultiProductionProtocol","test_multi_production_protocol_microbial_policy_absent","",""
"This test case test Api to get audit logs all details","183","Get Audit Logs Details","tests.unit.audit_logs","Tue Dec 17 18:05:26 IST 2024","passed","Tue Dec 17 18:05:26 IST 2024","TestAuditLogs","test_audit_logs","",""
"This test case tests API to Create Protocol for bioburden residue verification and validate the sample limits when select based on policy for direct and indirect","53004","Validate the sample limits of bioburden residue verification for direct indirect bop","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:12:08 IST 2024","passed","Tue Dec 17 17:13:01 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This test case test API to validate the audit logs details for sampling location assessment","383","Validate the audit logs details for sampling location assessment","tests.scenarios.audit_logs","Tue Dec 17 18:06:53 IST 2024","passed","Tue Dec 17 18:06:53 IST 2024","TestAuditLogsScenarios","test_audit_logs_scenarios","",""
"This test case tests API to Validate the absent on sample limit and summary page of Protocol bioburden Endotoxin residue verification when select zero in microbial policy for room grade swab & rinse samples for split","19725","Validate the absent on sample limit and summary page of Protocol bioburden Endotoxin residue verification when select zero in microbial policy for room grade swab & rinse samples for split","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:48:25 IST 2024","passed","Tue Dec 17 17:48:45 IST 2024","TestMicrobialMultiProductionProtocol","test_multi_production_protocol_microbial_policy_absent","",""
